order_id,product,supplier,destination,order_date,expected_delivery,actual_delivery,lead_time,shipping_mode,quantity,inventory,demand,shipping_cost
ORD-1034,Industrial Motors,HeavyParts Co,Houston,2023-02-16,2023-03-05,2023-03-05,17,Standard Freight,441,77,66,2301
ORD-1035,Plastic Resins,PolyMakers,New York,2023-05-21,2023-05-26,2023-05-25,5,Standard Freight,267,120,274,2646
ORD-1036,Industrial Motors,HeavyParts Co,Los Angeles,2023-04-28,2023-05-19,2023-05-26,21,Sea Shipping,111,131,209,2120
ORD-1037,Plastic Resins,HeavyParts Co,Chicago,2023-10-04,2023-10-14,2023-10-13,10,Standard Freight,206,192,299,3450
ORD-1038,Steel Beams,TechSupply Inc,Los Angeles,2023-08-02,2023-08-10,2023-08-17,8,Standard Freight,251,81,270,4292
ORD-1039,Microchips,WiredTech,Los Angeles,2023-08-08,2023-09-01,2023-09-04,24,Sea Shipping,66,58,262,3441
ORD-1040,Copper Wire,GlobalMetals,Chicago,2023-01-26,2023-02-15,2023-02-14,20,Sea Shipping,371,77,134,1477
ORD-1041,Steel Beams,TechSupply Inc,Los Angeles,2023-01-09,2023-01-28,2023-02-08,19,Sea Shipping,55,118,217,3566
ORD-1042,Copper Wire,TechSupply Inc,Chicago,2023-09-28,2023-10-17,2023-10-31,19,Standard Freight,107,63,200,1283
ORD-1043,Microchips,WiredTech,New York,2023-01-10,2023-01-20,2023-01-24,10,Standard Freight,374,48,105,740
ORD-1044,Microchips,GlobalMetals,Chicago,2023-05-01,2023-05-20,2023-05-27,19,Sea Shipping,461,78,183,2053
ORD-1045,Steel Beams,PolyMakers,Chicago,2023-05-05,2023-05-23,2023-06-06,18,Air Freight,367,90,135,1512
ORD-1046,Microchips,PolyMakers,Houston,2023-06-19,2023-07-04,2023-07-03,15,Sea Shipping,218,111,227,686
ORD-1047,Plastic Resins,TechSupply Inc,Chicago,2023-03-13,2023-03-24,2023-03-23,11,Air Freight,131,28,151,2381
ORD-1048,Microchips,GlobalMetals,Chicago,2023-06-01,2023-06-14,2023-06-14,13,Air Freight,474,146,214,930
ORD-1049,Copper Wire,TechSupply Inc,New York,2023-07-27,2023-08-16,2023-08-16,20,Sea Shipping,482,153,286,738
ORD-1050,Copper Wire,HeavyParts Co,Houston,2023-02-18,2023-02-27,2023-03-12,9,Sea Shipping,268,176,241,2845
ORD-1051,Copper Wire,TechSupply Inc,Miami,2023-06-03,2023-07-02,2023-07-02,29,Sea Shipping,226,164,292,575
ORD-1052,Copper Wire,TechSupply Inc,New York,2023-10-20,2023-11-13,2023-11-13,24,Standard Freight,253,163,103,1856
ORD-1053,Plastic Resins,PolyMakers,New York,2023-03-09,2023-03-23,2023-04-04,14,Air Freight,120,150,249,2830
ORD-1054,Industrial Motors,PolyMakers,Miami,2023-02-19,2023-03-13,2023-03-13,22,Standard Freight,436,40,282,2402
ORD-1055,Steel Beams,PolyMakers,Chicago,2023-06-01,2023-06-08,2023-06-11,7,Standard Freight,315,83,226,4513
ORD-1056,Copper Wire,HeavyParts Co,Los Angeles,2023-01-19,2023-02-05,2023-02-05,17,Sea Shipping,147,109,276,2559
ORD-1057,Microchips,PolyMakers,Houston,2023-04-10,2023-04-25,2023-04-25,15,Standard Freight,394,55,164,640
ORD-1058,Copper Wire,GlobalMetals,Los Angeles,2023-03-01,2023-03-22,2023-03-21,21,Sea Shipping,340,81,188,2289
ORD-1059,Microchips,WiredTech,Miami,2023-06-16,2023-07-12,2023-07-11,26,Air Freight,257,189,137,4126
ORD-1060,Microchips,GlobalMetals,New York,2023-07-21,2023-08-07,2023-08-06,17,Sea Shipping,51,95,98,516
ORD-1061,Copper Wire,GlobalMetals,New York,2023-05-26,2023-06-05,2023-06-05,10,Standard Freight,173,189,198,4848
ORD-1062,Plastic Resins,PolyMakers,Houston,2023-06-13,2023-07-04,2023-07-09,21,Standard Freight,329,32,164,964
ORD-1063,Microchips,WiredTech,New York,2023-08-30,2023-09-16,2023-09-20,17,Sea Shipping,123,30,243,4971
ORD-1064,Microchips,WiredTech,New York,2023-03-10,2023-04-02,2023-04-01,23,Sea Shipping,215,73,112,2327
ORD-1065,Copper Wire,WiredTech,Houston,2023-06-24,2023-07-19,2023-07-18,25,Standard Freight,71,35,153,3528
ORD-1066,Microchips,HeavyParts Co,Houston,2023-02-18,2023-03-13,2023-03-12,23,Air Freight,203,27,132,1019
ORD-1067,Microchips,PolyMakers,Miami,2023-04-18,2023-05-02,2023-05-01,14,Air Freight,476,123,152,589
ORD-1068,Copper Wire,WiredTech,New York,2023-08-14,2023-08-21,2023-08-21,7,Sea Shipping,488,78,205,3351
ORD-1069,Copper Wire,HeavyParts Co,New York,2023-06-10,2023-06-28,2023-06-27,18,Air Freight,344,76,66,3343
ORD-1070,Steel Beams,TechSupply Inc,Miami,2023-04-29,2023-05-22,2023-05-21,23,Standard Freight,268,59,55,2384
ORD-1071,Plastic Resins,TechSupply Inc,Chicago,2023-05-29,2023-06-07,2023-06-07,9,Sea Shipping,206,149,196,4671
ORD-1072,Plastic Resins,HeavyParts Co,Chicago,2023-05-30,2023-06-08,2023-06-07,9,Standard Freight,279,113,233,1425
ORD-1073,Microchips,HeavyParts Co,Chicago,2023-10-20,2023-11-13,2023-11-13,24,Standard Freight,69,157,279,4234
ORD-1074,Plastic Resins,PolyMakers,Miami,2023-05-23,2023-06-13,2023-06-19,21,Air Freight,90,63,77,1469
ORD-1075,Microchips,PolyMakers,New York,2023-06-09,2023-07-04,2023-07-04,25,Sea Shipping,487,158,243,1594
ORD-1076,Steel Beams,TechSupply Inc,Miami,2023-01-11,2023-01-25,2023-01-28,14,Sea Shipping,197,99,87,3695
ORD-1077,Copper Wire,WiredTech,Miami,2023-05-18,2023-05-27,2023-05-31,9,Air Freight,157,100,168,1904
ORD-1078,Copper Wire,TechSupply Inc,Chicago,2023-03-19,2023-03-27,2023-04-04,8,Standard Freight,452,21,86,3864
ORD-1079,Copper Wire,WiredTech,Los Angeles,2023-03-18,2023-03-28,2023-03-28,10,Standard Freight,133,197,164,4790
ORD-1080,Plastic Resins,WiredTech,New York,2023-09-11,2023-09-19,2023-09-18,8,Standard Freight,416,159,293,4482
ORD-1081,Steel Beams,PolyMakers,Chicago,2023-09-15,2023-09-26,2023-10-03,11,Standard Freight,371,134,117,4823
ORD-1082,Plastic Resins,GlobalMetals,Los Angeles,2023-10-18,2023-10-29,2023-10-28,11,Sea Shipping,463,109,263,4513
ORD-1083,Plastic Resins,GlobalMetals,Los Angeles,2023-09-20,2023-10-12,2023-10-11,22,Sea Shipping,358,42,267,3592
ORD-1084,Steel Beams,HeavyParts Co,Houston,2023-03-26,2023-04-02,2023-04-01,7,Air Freight,339,165,226,4659
ORD-1085,Steel Beams,PolyMakers,New York,2023-05-26,2023-05-31,2023-06-05,5,Air Freight,455,81,92,2574
ORD-1086,Steel Beams,WiredTech,Los Angeles,2023-02-11,2023-03-11,2023-03-10,28,Sea Shipping,372,132,213,784
ORD-1087,Steel Beams,GlobalMetals,Chicago,2023-05-05,2023-06-03,2023-06-03,29,Sea Shipping,183,147,107,1687
ORD-1088,Copper Wire,WiredTech,Houston,2023-06-16,2023-06-24,2023-07-08,8,Standard Freight,256,81,62,4469
ORD-1089,Industrial Motors,GlobalMetals,New York,2023-08-29,2023-09-08,2023-09-20,10,Standard Freight,332,57,101,3465
ORD-1090,Industrial Motors,GlobalMetals,Miami,2023-10-07,2023-10-20,2023-10-20,13,Air Freight,315,185,107,4819
ORD-1091,Steel Beams,GlobalMetals,Chicago,2023-07-07,2023-08-02,2023-08-01,26,Sea Shipping,122,80,81,1283
ORD-1092,Industrial Motors,PolyMakers,Los Angeles,2023-01-19,2023-02-06,2023-02-06,18,Air Freight,401,148,258,1449
ORD-1093,Industrial Motors,TechSupply Inc,Los Angeles,2023-03-09,2023-03-25,2023-03-25,16,Sea Shipping,97,192,154,4439
ORD-1094,Steel Beams,WiredTech,Chicago,2023-08-06,2023-09-04,2023-09-04,29,Standard Freight,375,175,277,544
ORD-1095,Industrial Motors,PolyMakers,Los Angeles,2023-04-12,2023-05-06,2023-05-06,24,Air Freight,282,168,296,2310
ORD-1096,Plastic Resins,PolyMakers,Houston,2023-02-11,2023-03-11,2023-03-14,28,Air Freight,492,141,237,2581
ORD-1097,Microchips,PolyMakers,New York,2023-10-15,2023-11-13,2023-11-12,29,Sea Shipping,149,129,287,3998
ORD-1098,Microchips,PolyMakers,Houston,2023-06-16,2023-06-24,2023-06-24,8,Standard Freight,108,32,132,1329
ORD-1099,Steel Beams,PolyMakers,Los Angeles,2023-04-19,2023-05-14,2023-05-13,25,Air Freight,307,174,235,2409
ORD-1100,Copper Wire,HeavyParts Co,Miami,2023-02-05,2023-03-05,2023-03-05,28,Standard Freight,462,119,148,3081
ORD-1101,Steel Beams,WiredTech,New York,2023-08-20,2023-09-05,2023-09-04,16,Air Freight,114,154,287,1191
ORD-1102,Copper Wire,PolyMakers,New York,2023-08-17,2023-08-31,2023-09-09,14,Standard Freight,132,41,153,4519
ORD-1103,Microchips,WiredTech,Chicago,2023-06-13,2023-07-09,2023-07-08,26,Sea Shipping,203,93,233,1431
ORD-1104,Steel Beams,HeavyParts Co,Chicago,2023-03-14,2023-03-25,2023-03-30,11,Air Freight,315,151,77,3906
ORD-1105,Plastic Resins,HeavyParts Co,Miami,2023-05-16,2023-05-23,2023-05-23,7,Air Freight,358,42,178,647
ORD-1106,Industrial Motors,WiredTech,New York,2023-03-11,2023-04-07,2023-04-09,27,Standard Freight,128,138,219,1532
ORD-1107,Copper Wire,GlobalMetals,Miami,2023-07-15,2023-08-02,2023-08-14,18,Standard Freight,364,89,259,1811
ORD-1108,Industrial Motors,TechSupply Inc,Chicago,2023-09-26,2023-10-24,2023-10-24,28,Air Freight,199,103,97,887
ORD-1109,Industrial Motors,GlobalMetals,Chicago,2023-02-18,2023-03-04,2023-03-06,14,Sea Shipping,484,120,89,3621
ORD-1110,Steel Beams,GlobalMetals,New York,2023-05-10,2023-05-30,2023-05-30,20,Standard Freight,97,103,146,2373
ORD-1111,Industrial Motors,GlobalMetals,Houston,2023-01-05,2023-01-25,2023-01-24,20,Standard Freight,454,180,240,4088
ORD-1112,Plastic Resins,PolyMakers,Los Angeles,2023-01-27,2023-02-22,2023-03-03,26,Standard Freight,428,47,253,1415
ORD-1113,Industrial Motors,HeavyParts Co,Chicago,2023-06-09,2023-06-23,2023-06-26,14,Air Freight,297,155,249,2378
ORD-1114,Steel Beams,GlobalMetals,Chicago,2023-05-29,2023-06-27,2023-06-26,29,Air Freight,327,20,265,4248
ORD-1115,Plastic Resins,HeavyParts Co,Houston,2023-09-21,2023-10-08,2023-10-08,17,Air Freight,405,184,257,777
ORD-1116,Microchips,WiredTech,Houston,2023-08-18,2023-08-28,2023-08-27,10,Air Freight,147,82,163,2477
ORD-1117,Industrial Motors,TechSupply Inc,Miami,2023-07-19,2023-08-04,2023-08-03,16,Sea Shipping,463,41,181,2359
ORD-1118,Steel Beams,WiredTech,Miami,2023-02-19,2023-03-04,2023-03-04,13,Sea Shipping,74,89,215,3536
ORD-1119,Microchips,WiredTech,Los Angeles,2023-03-08,2023-03-25,2023-03-25,17,Air Freight,333,144,285,3871
ORD-1120,Microchips,PolyMakers,Los Angeles,2023-10-27,2023-11-04,2023-11-03,8,Sea Shipping,498,168,204,2682
ORD-1121,Copper Wire,TechSupply Inc,New York,2023-02-27,2023-03-27,2023-03-26,28,Standard Freight,418,115,186,1670
ORD-1122,Plastic Resins,WiredTech,Miami,2023-09-16,2023-10-01,2023-10-07,15,Standard Freight,350,182,160,989
ORD-1123,Industrial Motors,WiredTech,Chicago,2023-05-10,2023-06-03,2023-06-02,24,Standard Freight,117,98,193,3025
ORD-1124,Steel Beams,TechSupply Inc,Miami,2023-08-03,2023-08-25,2023-08-24,22,Air Freight,56,24,233,1682
ORD-1125,Copper Wire,TechSupply Inc,Chicago,2023-06-21,2023-07-06,2023-07-05,15,Standard Freight,354,79,125,4979
ORD-1126,Plastic Resins,WiredTech,Houston,2023-09-15,2023-10-14,2023-10-13,29,Sea Shipping,186,139,80,4758
ORD-1127,Copper Wire,TechSupply Inc,Miami,2023-04-12,2023-05-07,2023-05-07,25,Air Freight,213,65,265,2988
ORD-1128,Plastic Resins,WiredTech,Houston,2023-07-28,2023-08-05,2023-08-05,8,Sea Shipping,132,197,168,2376
ORD-1129,Plastic Resins,WiredTech,Los Angeles,2023-10-18,2023-11-09,2023-11-09,22,Standard Freight,434,195,191,2962
ORD-1130,Industrial Motors,PolyMakers,Los Angeles,2023-10-13,2023-10-18,2023-10-17,5,Standard Freight,187,153,286,2130
ORD-1131,Plastic Resins,GlobalMetals,New York,2023-04-26,2023-05-07,2023-05-06,11,Standard Freight,469,75,74,787
ORD-1132,Copper Wire,WiredTech,Miami,2023-09-21,2023-10-01,2023-09-30,10,Air Freight,122,129,83,4782
ORD-1133,Plastic Resins,HeavyParts Co,Houston,2023-05-30,2023-06-18,2023-06-17,19,Sea Shipping,286,176,116,2407
ORD-1134,Industrial Motors,GlobalMetals,Chicago,2023-10-27,2023-11-18,2023-11-17,22,Air Freight,95,123,299,1661
ORD-1135,Industrial Motors,GlobalMetals,Los Angeles,2023-02-05,2023-03-05,2023-03-05,28,Air Freight,155,96,201,629
ORD-1136,Copper Wire,GlobalMetals,Los Angeles,2023-10-14,2023-10-29,2023-10-28,15,Standard Freight,465,165,167,2863
ORD-1137,Microchips,PolyMakers,Chicago,2023-07-27,2023-08-20,2023-08-19,24,Air Freight,337,21,283,643
ORD-1138,Microchips,WiredTech,Houston,2023-04-16,2023-05-14,2023-05-26,28,Air Freight,311,27,122,515
ORD-1139,Plastic Resins,PolyMakers,Houston,2023-06-07,2023-06-26,2023-06-25,19,Standard Freight,225,94,75,744
ORD-1140,Steel Beams,WiredTech,Miami,2023-05-01,2023-05-21,2023-05-27,20,Air Freight,215,144,197,1426
ORD-1141,Plastic Resins,PolyMakers,Miami,2023-02-24,2023-03-07,2023-03-07,11,Standard Freight,194,57,241,3678
ORD-1142,Copper Wire,PolyMakers,New York,2023-01-12,2023-02-06,2023-02-06,25,Standard Freight,379,195,153,2676
ORD-1143,Copper Wire,HeavyParts Co,Los Angeles,2023-05-25,2023-06-08,2023-06-22,14,Standard Freight,419,46,59,1386
ORD-1144,Copper Wire,PolyMakers,Miami,2023-05-16,2023-06-01,2023-06-05,16,Standard Freight,332,39,260,840
ORD-1145,Copper Wire,TechSupply Inc,Houston,2023-01-03,2023-01-31,2023-01-30,28,Air Freight,103,159,116,2551
ORD-1146,Copper Wire,HeavyParts Co,Chicago,2023-05-24,2023-06-11,2023-06-11,18,Standard Freight,227,62,201,3898
ORD-1147,Industrial Motors,PolyMakers,Houston,2023-01-30,2023-02-28,2023-02-28,29,Standard Freight,468,50,54,4450
ORD-1148,Microchips,GlobalMetals,Los Angeles,2023-08-25,2023-09-03,2023-09-14,9,Air Freight,293,110,244,805
ORD-1149,Copper Wire,TechSupply Inc,Houston,2023-10-06,2023-10-31,2023-10-30,25,Air Freight,390,80,235,1407
ORD-1150,Steel Beams,TechSupply Inc,New York,2023-04-25,2023-05-17,2023-05-17,22,Sea Shipping,176,128,76,3154
ORD-1151,Steel Beams,TechSupply Inc,Los Angeles,2023-04-14,2023-04-23,2023-04-22,9,Air Freight,458,110,257,4292
ORD-1152,Steel Beams,HeavyParts Co,Chicago,2023-04-28,2023-05-05,2023-05-04,7,Air Freight,461,182,162,4542
ORD-1153,Steel Beams,PolyMakers,New York,2023-01-05,2023-02-01,2023-02-01,27,Sea Shipping,416,114,64,1871
ORD-1154,Industrial Motors,PolyMakers,Los Angeles,2023-09-05,2023-09-14,2023-09-26,9,Air Freight,320,162,212,820
ORD-1155,Steel Beams,GlobalMetals,Chicago,2023-05-01,2023-05-29,2023-05-28,28,Air Freight,181,163,253,4559
ORD-1156,Copper Wire,GlobalMetals,New York,2023-10-13,2023-11-03,2023-11-03,21,Air Freight,142,32,154,1631
ORD-1157,Plastic Resins,TechSupply Inc,New York,2023-05-29,2023-06-21,2023-06-21,23,Air Freight,428,132,230,3078
ORD-1158,Steel Beams,GlobalMetals,Los Angeles,2023-03-25,2023-04-17,2023-04-27,23,Sea Shipping,122,54,93,4542
ORD-1159,Industrial Motors,HeavyParts Co,Miami,2023-08-19,2023-09-17,2023-09-17,29,Air Freight,460,168,75,3867
ORD-1160,Industrial Motors,PolyMakers,New York,2023-10-15,2023-11-09,2023-11-17,25,Air Freight,459,177,224,1317
ORD-1161,Steel Beams,TechSupply Inc,New York,2023-06-10,2023-06-26,2023-06-26,16,Sea Shipping,452,67,211,511
ORD-1162,Plastic Resins,GlobalMetals,Chicago,2023-09-29,2023-10-28,2023-10-28,29,Standard Freight,297,54,264,694
ORD-1163,Steel Beams,HeavyParts Co,Houston,2023-02-07,2023-02-20,2023-02-19,13,Sea Shipping,397,105,144,3037
ORD-1164,Industrial Motors,HeavyParts Co,Los Angeles,2023-08-14,2023-08-19,2023-08-24,5,Standard Freight,322,185,227,3342
ORD-1165,Microchips,GlobalMetals,Los Angeles,2023-05-22,2023-06-13,2023-06-19,22,Sea Shipping,92,178,133,2729
ORD-1166,Copper Wire,PolyMakers,Miami,2023-10-19,2023-11-13,2023-11-12,25,Sea Shipping,426,171,189,3509
ORD-1167,Industrial Motors,GlobalMetals,Miami,2023-05-31,2023-06-08,2023-06-12,8,Air Freight,90,133,264,2577
ORD-1168,Steel Beams,TechSupply Inc,Los Angeles,2023-04-24,2023-05-08,2023-05-12,14,Standard Freight,219,196,181,4367
ORD-1169,Copper Wire,GlobalMetals,Miami,2023-08-25,2023-09-23,2023-09-23,29,Air Freight,483,119,136,943
ORD-1170,Steel Beams,HeavyParts Co,Chicago,2023-03-07,2023-03-18,2023-03-18,11,Standard Freight,261,179,225,797
ORD-1171,Steel Beams,GlobalMetals,Los Angeles,2023-09-15,2023-10-11,2023-10-23,26,Sea Shipping,217,118,232,1344
ORD-1172,Microchips,PolyMakers,Miami,2023-09-06,2023-10-03,2023-10-02,27,Sea Shipping,88,22,161,1515
ORD-1173,Copper Wire,WiredTech,Los Angeles,2023-06-29,2023-07-04,2023-07-06,5,Standard Freight,418,104,178,1884
ORD-1174,Copper Wire,GlobalMetals,Houston,2023-07-09,2023-07-30,2023-07-29,21,Air Freight,294,144,295,1897
ORD-1175,Microchips,PolyMakers,New York,2023-06-03,2023-07-01,2023-07-01,28,Air Freight,200,157,138,1053
ORD-1176,Industrial Motors,PolyMakers,Los Angeles,2023-07-15,2023-07-21,2023-07-20,6,Air Freight,160,102,115,2850
ORD-1177,Steel Beams,HeavyParts Co,New York,2023-09-19,2023-10-04,2023-10-04,15,Air Freight,485,44,207,1769
ORD-1178,Plastic Resins,PolyMakers,Miami,2023-05-23,2023-06-05,2023-06-04,13,Sea Shipping,96,87,180,1760
ORD-1179,Steel Beams,PolyMakers,New York,2023-04-11,2023-04-22,2023-04-22,11,Sea Shipping,112,80,171,684
ORD-1180,Steel Beams,PolyMakers,Los Angeles,2023-09-01,2023-09-27,2023-10-09,26,Sea Shipping,274,48,198,2910
ORD-1181,Industrial Motors,PolyMakers,Houston,2023-01-12,2023-02-02,2023-02-01,21,Sea Shipping,415,146,266,4931
ORD-1182,Steel Beams,TechSupply Inc,Miami,2023-08-27,2023-09-17,2023-09-16,21,Sea Shipping,118,38,133,2709
ORD-1183,Microchips,TechSupply Inc,Los Angeles,2023-02-18,2023-02-24,2023-02-24,6,Air Freight,348,190,226,4172
ORD-1184,Microchips,HeavyParts Co,Miami,2023-02-11,2023-02-21,2023-02-20,10,Air Freight,481,93,165,2381
ORD-1185,Copper Wire,GlobalMetals,Chicago,2023-06-15,2023-07-03,2023-07-03,18,Air Freight,339,80,263,4796
ORD-1186,Plastic Resins,PolyMakers,New York,2023-03-23,2023-04-02,2023-04-13,10,Air Freight,345,190,262,1021
ORD-1187,Steel Beams,GlobalMetals,Chicago,2023-10-18,2023-10-24,2023-10-23,6,Sea Shipping,252,172,239,2387
ORD-1188,Steel Beams,GlobalMetals,Los Angeles,2023-06-07,2023-06-12,2023-06-12,5,Sea Shipping,110,39,274,3052
ORD-1189,Industrial Motors,HeavyParts Co,Houston,2023-08-04,2023-08-18,2023-08-17,14,Sea Shipping,483,67,165,4309
ORD-1190,Microchips,PolyMakers,Miami,2023-06-07,2023-07-02,2023-07-01,25,Standard Freight,367,106,87,4655
ORD-1191,Plastic Resins,PolyMakers,New York,2023-05-14,2023-05-23,2023-05-23,9,Air Freight,363,171,192,4916
ORD-1192,Copper Wire,WiredTech,Miami,2023-03-08,2023-03-14,2023-03-13,6,Air Freight,210,158,299,3979
ORD-1193,Microchips,GlobalMetals,Los Angeles,2023-01-07,2023-02-02,2023-02-14,26,Sea Shipping,380,129,299,1909
ORD-1194,Copper Wire,GlobalMetals,Miami,2023-01-14,2023-02-03,2023-02-15,20,Air Freight,65,47,159,2194
ORD-1195,Industrial Motors,TechSupply Inc,New York,2023-03-14,2023-04-12,2023-04-22,29,Air Freight,387,78,229,1026
ORD-1196,Industrial Motors,WiredTech,Los Angeles,2023-06-12,2023-06-18,2023-06-18,6,Sea Shipping,143,152,256,3160
ORD-1197,Steel Beams,TechSupply Inc,Miami,2023-03-07,2023-03-21,2023-03-27,14,Standard Freight,353,70,95,2672
ORD-1198,Plastic Resins,TechSupply Inc,Houston,2023-05-10,2023-05-16,2023-05-15,6,Standard Freight,187,168,74,779
ORD-1199,Copper Wire,TechSupply Inc,Los Angeles,2023-07-25,2023-08-14,2023-08-14,20,Standard Freight,387,31,70,3464
ORD-1200,Microchips,HeavyParts Co,Los Angeles,2023-10-03,2023-10-23,2023-10-23,20,Sea Shipping,87,69,265,4477
ORD-1201,Industrial Motors,HeavyParts Co,Houston,2023-09-13,2023-10-06,2023-10-05,23,Air Freight,176,151,170,3169
ORD-1202,Steel Beams,TechSupply Inc,Chicago,2023-09-23,2023-10-04,2023-10-07,11,Sea Shipping,324,132,171,3393
ORD-1203,Steel Beams,WiredTech,New York,2023-01-25,2023-02-20,2023-02-19,26,Sea Shipping,213,189,182,2251
ORD-1204,Copper Wire,GlobalMetals,Chicago,2023-10-08,2023-10-24,2023-10-24,16,Air Freight,492,185,119,4481
ORD-1205,Industrial Motors,WiredTech,Miami,2023-09-10,2023-10-08,2023-10-08,28,Standard Freight,368,172,162,2861
ORD-1206,Plastic Resins,PolyMakers,Houston,2023-10-16,2023-11-04,2023-11-04,19,Standard Freight,126,33,156,4927
ORD-1207,Industrial Motors,HeavyParts Co,Chicago,2023-06-13,2023-06-25,2023-06-24,12,Sea Shipping,223,51,161,4631
ORD-1208,Copper Wire,GlobalMetals,Los Angeles,2023-04-05,2023-04-15,2023-04-15,10,Standard Freight,436,158,157,2208
ORD-1209,Copper Wire,GlobalMetals,Miami,2023-09-27,2023-10-11,2023-10-10,14,Sea Shipping,407,165,96,3186
ORD-1210,Industrial Motors,PolyMakers,Miami,2023-04-20,2023-04-27,2023-04-27,7,Sea Shipping,370,174,264,3395
ORD-1211,Copper Wire,PolyMakers,Chicago,2023-08-26,2023-09-18,2023-09-17,23,Air Freight,425,74,245,3276
ORD-1212,Industrial Motors,TechSupply Inc,Chicago,2023-01-25,2023-02-15,2023-02-19,21,Air Freight,140,139,140,1619
